Name,Category Main,Category Sub,Price,Unit,Image URL,Local Image,URL,Error
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga-500g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga-1kg,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga-300g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga-hop-6,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga-lon-330ml,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga-chai-1-5l,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-500g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-1kg,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-300g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-hop-6,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-lon-330ml,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-chai-1-5l,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu-500g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu-1kg,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu-300g,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu-hop-6,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu-lon-330ml,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-thu-chai-1-5l,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su,
N/A,,ca-tom-muc-ech,,,,,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-su-500g,
